,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link
272,10610,History of Technology,Teknologihistorie,10,Kandidat_Kurset udbydes som enkeltfag,Campus Lyngby,", Min. to års studier eller IngeniørfagetsVidenskabsteori.",Laila Zwisler,10 Institut forFysik,https://kurser.dtu.dk/course/10610
273,10720,Research Immersion BSc (June) - Department of Physics,Forskningsfordybelse BSc (juni) - Institut forFysik,5,Bachelor,Campus Lyngby,,Christian Danvad Damsgaard,10 Institut forFysik,https://kurser.dtu.dk/course/10720
274,10721,Research Immersion BSc (July) - Department of Physics,Forskningsfordybelse BSc (juli) - Institut forFysik,5,Bachelor,Campus Lyngby,,Christian Danvad Damsgaard,10 Institut forFysik,https://kurser.dtu.dk/course/10721
275,10722,Research Immersion BSc (August) - Department ofPhysics,Forskningsfordybelse BSc (august) - Institut forFysik,5,Bachelor,Campus Lyngby,,Christian Danvad Damsgaard,10 Institut forFysik,https://kurser.dtu.dk/course/10722
276,10730,Research Immersion MSc (June) - Department of Physics,Forskningsfordybelse MSc (juni) - Institut forFysik,5,"Kandidat_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi",Campus Lyngby,,Christian Danvad Damsgaard,10 Institut forFysik,https://kurser.dtu.dk/course/10730
277,10731,Research Immersion MSc (July) - Department of Physics,Forskningsfordybelse MSc (juli) - Institut forFysik,5,"Kandidat_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi",Campus Lyngby,,Christian Danvad Damsgaard,10 Institut forFysik,https://kurser.dtu.dk/course/10731
278,10732,Research Immersion MSc (August) - Department ofPhysics,Forskningsfordybelse MSc (august) - Institut forFysik,5,"Kandidat_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi",Campus Lyngby,,Christian Danvad Damsgaard,10 Institut forFysik,https://kurser.dtu.dk/course/10732
279,10750,Innovation Projects at the Physics Department,Innovationsprojekter på DTU Fysik,5,"Kandidat_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi",Campus Lyngby,,Tim Booth,10 Institut forFysik,https://kurser.dtu.dk/course/10750
280,10850,Advanced micro- and nanofabrication technology,Avanceret mikro- og nano-fabrikationsteknologi,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi_Teknologisk specialisering, kandidatuddannelsen, Bæredygtig Energi",Campus Lyngby,"22600,22601, /, , Elementært kendskab til   faststofelektronik og fysisk kemi   forudsættes.",Flemming Jensen,10 Institut forFysik,https://kurser.dtu.dk/course/10850
281,10851,Introduction to cleanroom-based microfabrication,Introduktion til renrums-baseret mikrofabrikation,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi","Campus Lyngby Hands-on instructions will take place in the DTU Nanolabcleanroom. Lectures are held at DTU Nanolab, primarily in building345C and 346.",,Stephan Sylvest Keller,10 Institut forFysik,https://kurser.dtu.dk/course/10851
282,10852,Introduction to cleanroom-based microfabrication,Introduktion til renrums-baseret mikrofabrikation,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi","Campus Lyngby Hands-on instructions will take place in the DTU Nanolabcleanroom. Lectures are held at DTU Nanolab, primarily in building345C and 346.",,Stephan Sylvest Keller,10 Institut forFysik,https://kurser.dtu.dk/course/10852
283,10855,Advanced fabrication of micro- and nanostructures,Videregående fabrikation af mikro- ognanostrukturer,10,"Kandidat_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi_Teknologisk specialisering, kandidatuddannelsen, Fotonik ","Campus Lyngby Den sidste havdel af kurset vil bestå af projektarbejde irenrummet, B346.",,Rafael Taboryski,10 Institut forFysik,https://kurser.dtu.dk/course/10855
284,10859,Laboratory work in physics and nanotechnology,Laboratoriearbejde i fysik og nanoteknologi,5,"Bachelor_Teknologisk linjefag, Fysik og Nanoteknologi",Campus Lyngby,,Rafael Taboryski,10 Institut forFysik,https://kurser.dtu.dk/course/10859
285,10862,Polymer micro fabrication,Polymer mikrofabrikation,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Fysik og Nanoteknologi",Campus Lyngby,,Ada-Ioana Bunea,10 Institut forFysik,https://kurser.dtu.dk/course/10862
286,10916,Physics 1,Fysik 1,5,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Lyngby,,Carsten Knudsen,10 Institut forFysik,https://kurser.dtu.dk/course/10916
287,10935,Physics 1,Fysik 1,5,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Proces og Innovation_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi_Tilvalgskurser, Diplomingeniørretning, Sundhedsteknologi",Campus Ballerup,,Carsten Knudsen,10 Institut forFysik,https://kurser.dtu.dk/course/10935
288,12000,Water and environmental management,Vand og miljømanagement,10,"Bachelor_Projekter og almene fag, BSc i Miljøteknologi",Campus Lyngby,,Martin Rygaard,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12000
289,12003,Introductory Environmental Laboratory and FieldCourse,Miljøteknisk Laboratorie- og Feltkursus,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Miljøteknologi",Campus Lyngby,,Peter Kjeldsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12003
290,12100,Quantitative Sustainability,Kvantitativ Bæredygtighed,5,Kandidat,Campus Lyngby,,Peter Kjeldsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12100
291,12102,Environmental Processes,Miljøtekniske processer,10,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,"12000,  , Et grundlæggende kursus i kemi fraKemisk Institut DTU og Excel",Henrik Rasmus Andersen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12102
292,12104,Modelling of Environmental Processes and Technologies,Modellering af miljøtekniske processer,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,", Matematik, kemi, fysik og miljøtekniske processer.Programmering (Python)",Luca Vezzaro,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12104
293,12109,Physico-Chemical Water Treatment Technologies,Fysisk-kemiske vandbehandlingsteknologier,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,"12102,12104, /, , Kursus i vandkemi, kursus i   miljøprocesser, eller tilsvarende",Wenjing (Angela) Zhang,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12109
294,12110,Wastewater Engineering: Treatment and ResourceRecovery,Wastewater Engineering: Treatment and ResourceRecovery,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,"12102,12104,12108,12109, /,/,/",Borja Valverde Pérez,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12110
295,12111,Environmental Processes for MSc students,Miljøtekniske processer for kandidater,5,"Kandidat_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,", Et grundlæggende kursus i kemi og basis viden omExcel",Henrik Rasmus Andersen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12111
296,12121,Water Supply,Vandforsyning,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,"12102,12134,41102, (,)(,)(,) , vandkemi, hydraulik, procesteknik,basal mikrobiologi",Hans-Jørgen Albrechtsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12121
297,12122,Urban Drainage and Stormwater Management,Afløbssystemer og urban regnvandshåndtering,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"41102,12320, /, , Basic understanding of hydraulic   and hydrological phenomena and   calculations",Peter Steen Mikkelsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12122
298,12124,Urban Flood Risk Modelling,Modellering af risiko for urbane oversvømmelser,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"12122,  , Basic GIS knowledge",Karsten Arnbjerg-Nielsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12124
299,12130,Solid Waste Technology and Management,Affaldssystemer og affaldsteknologi,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,"12102,12202, /",Peter Kjeldsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12130
300,12132,LCA Modelling of Waste Management Systems,LCA-modellering af affaldssystemer,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"12130, ",Anders Damgaard,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12132
301,12134,Environmental Microbiology,Miljøteknisk Mikrobiologi,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Miljøteknologi_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,"27002,  , Biovidenskab (eller andre kurser påuniversitæts niveau indenfor cell biology ellerbiokemi)",Barth F. Smets,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12134
302,12138,Environmental Microbiology II,Videregående Miljøteknisk Mikrobiologi,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi",Campus Lyngby,"12134,  , Environmental Microbiology orEquivalent (theoretical and practical experience in basicmicrobiology)",Marlene Mark Jensen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12138
303,12139,Resource Engineering,Resource Engineering,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, General Engineering_Teknologisk linjefag, Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,,Thomas Fruergaard Astrup,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12139
304,12143,Bioresources,Bioresources,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Bæredygtig Energi_Teknologiske linjefag_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik",Campus Lyngby,,Valentina Bisinella,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12143
305,12145,Terrestrial Ecology for Engineers,Terrestrial Ecology for Engineers,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi",Campus Lyngby,,Andreas Franz Heinrich Ibrom,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12145
306,12202,Environment and Sustainability,Miljø og bæredygtighed,5,"Bachelor_Kurset udbydes som enkeltfag_Specialiseringskursus, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Teknologisk linjefag, Miljøteknologi",Campus Lyngby,,Anders Damgaard,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12202
307,12203,Environmental project work,Miljøfagprojekt,10,"Bachelor_Kurset udbydes som enkeltfag_Projekter og almene fag, BSc i Miljøteknologi",Campus Lyngby,", Mindst 4 af de teknologiske linjefag skal værebestået",Hans-Jørgen Albrechtsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12203
308,12205,"Climate change – impacts, mitigation and adaptation","Klimaændringer – effekter, imødegåelse ogtilpasning",5,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabelige grundfag, Design & Innovation_Teknologisk linjefag, Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning Mobilitet, Transport og Logistik_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,,Charlotte Scheutz,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12205
309,12210,Environmental Engineering in low- and middle-incomecountries,Miljøteknik i lav- og mellem-indkomstlande,5,"Bachelor_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby,,Anders Baun,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12210
310,12227,Regional and global air pollution effects,Regionale og globale luftforureningseffekter,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,"12102,25105, ., , og et kursus i almen   kemi",Teis Nørgaard Mikkelsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12227
311,12228,Urban air pollution,Urban luftforurening,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi",Campus Lyngby,", 12102, 12227 og grundlæggendekemikursus",Teis Nørgaard Mikkelsen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12228
312,12231,Applied Analytical Environmental Chemistry,Anvendt miljøkemisk analyseteknik,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,"12102,  , Grundlæggende miljøkemisk viden,uorganisk og organisk kemi",Philipp Mayer,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12231
313,12237,Chemicals in the environment,Kemikalier i miljøet,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,"12102,02402, //",Anders Baun,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12237
314,12238,"Priority Organic Pollutants - Transport, Distribution andTransformation","Priority Organic Pollutants - Transport, Distribution andTransformation",5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,"12102,12104,12233,26000,26400, (,)(,)(,)(,)(,) , Qualified Prerequisites: 2-3courses within Environmental Chemical and Biological Processes,Environmental Chemistry, Ecotoxicology, Basic (Organic) Chemistry,Environmental Pollution and PhysicalChemistry.",Philipp Mayer,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12238
315,12240,"Environmental Management, innovation and Ethics","Miljømanagement, innovation og etik",5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Design og Innovation_Teknologisk specialisering, kandidatuddannelsen, Industriel Økonomi og Teknologiledelse_Teknologisk specialisering, kandidatuddannelsen,Transport og Logistik_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning Mobilitet, Transport og Logistik_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby,", Flest mulige kurser om miljø, herunder også kurser inden formiljøhåndtering.",Steffen Foss Hansen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12240
316,12245,Water Pollution,Vandforurening,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi",Campus Lyngby,"12102,12111,12320, /,/",Stefan Trapp,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12245
317,12320,Hydrology,Hydrologi,10,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"41102,10020,02633, /,/, , Fysik, grundlæggende hydraulik og   basal programmering og databehandling i Python / Jupyter   notebooks",Peter Bauer-Gottwein,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12320
318,12330,Contaminated Sites,Forurenede grunde,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,", 12102 Miljøtekniske processer, 12237 Kemikalier i miljøet og12320 Hydrologi",Poul Løgstrup Bjerg,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12330
319,12331,Field investigations of contaminated sites,Feltundersøgelser af forurenede grunde,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby samt på 2 feltlokaliteter,"12330,  , Forurenede grunde",Mette Martina Broholm,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12331
320,12336,Groundwater Quality,Grundvandskvalitet,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,"12104,12320, /",Poul Løgstrup Bjerg,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12336
321,12345,"Observation, Modeling and Management of Water Systems","Måling, modellering og forvaltning af vandsystemer",5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi",Campus Lyngby,"12320,02402, /, , Programmering i skriptsprog   (f.eks. Python), GIS, hydrologiske   processer",Roland Löwe,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12345
322,12350,Introduction to Indoor Environment,Introduktion til indeklima,5,"Bachelor_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,,Gabriel Bekö,12 Institutfor Vand og Miljøteknologi,https://kurser.dtu.dk/course/12350
323,12360,Indoor Climate,Indeklima,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Bygningsdesign_Teknologisk specialisering, kandidatuddannelsen,Bæredygtig Energi_Generel retningskompetence, kandidatuddannelsen, Byggeteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"11202,11203, /, , Mennesket og de fysiske   omgivelser/ Introduktion til indeklima",Geo Henrik Clausen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12360
324,12361,Ventilation and Climatic Systems,Ventilation og klimateknik,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Bygningsdesign_Teknologisk specialisering, kandidatuddannelsen, Byggeteknologi_Teknologisk specialisering, kandidatuddannelsen,Bæredygtig Energi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"41311,41814,41815, /,/, , Det forudsættes, at deltagerne   har et grundlæggende kendskab til fluid mekanik, varme-,   ventilations-, og klimateknik.",Jørn Toftum,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12361
325,12362,Daylighting and Lighting,Dagslys og Belysning,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Bygningsdesign_Teknologisk specialisering, kandidatuddannelsen Bæredygtig Energi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"12350,11141,11000,11937, /,/,/, , Der forudsættes et basalt   kendskab til vinduers optiske og energimæssige   egenskaber.",Mandana Sarey Khanie,12 Institutfor Vand og Miljøteknologi,https://kurser.dtu.dk/course/12362
326,12363,Simulation of indoor environment and energy consumption usingIDA ICE,Simulering af indeklima og energiforbrug med IDAICE,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen,Bygningsdesign_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"11115,11141,11203,11937,11112,11937, .­,/,/,.­,/,/ , Deltagerne skal have   grundlæggende viden om indeklima, principiel virkning af HVAC   systemerne i bygninger samt af varme- og massetransport.   Erfaringer med IDA ICE er også påkrævet",Rune Korsholm Andersen,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12363
327,12410,Engineering Geology – an introductory course,Ingeniørgeologisk grundkursus,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Miljøteknologi_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby,"11411,  , Det anbefales at 11411 tagessideløbende.",Ida Lykke Fabricius,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12410
328,12411,Basic Soil Mechanics,Styrke og stivhed af jord - Geoteknik Grundkursus,5,"Bachelor_Kurset udbydes som enkeltfag_Specialiseringskursus, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Teknologisk linjefag, Byggeteknologi_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,", karakteristiske egenskaber af byggematerialer: kornfordeling,rumvægt, styrke og elasticitetsmodul",Irene Rocchi,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12411
329,12412,Basic Geotechnical Engineering,Almindelige konstruktioner i jord,5,"Bachelor_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"11411,11462, ",Varvara Zania,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12412
330,12415,Basic Course in Pavement Engineering,Grundkursus i vejbelægningsteknik,5,"Bachelor_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby,,Eyal Levenberg,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12415
331,12420,Advanced engineering geology: soil and porous rocks,Videregående ingeniørgeologi: Jord og porrøsebjergarter,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen, Byggeteknologi_Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby,"11462,11440,  eller, , Eller tilsvarende elementærtgeologikursus",Ida Lykke Fabricius,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12420
332,12421,Advanced Soil Mechanics,Videregående jordmekanik - styrke og stivhed afjord,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Byggeteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby progress of laboratory testing requires limited but continuousparticipation outside of the schedule lecture hours for 1-2weeks,"11411,12411, /,. , Styrke og stivhed af jord -   Geoteknik Grundkursus: effektive spændinger, deformationer,   effektive (drænede) styrkeparametre og udrænede styrkeparametre,   endimensional konsolidering",Irene Rocchi,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12421
333,12422,Advanced Geotechnical Engineering,Videregående geoteknik - konstruktion,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Byggeteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Byggeri og infrastruktur",Campus Lyngby,"11411,11463,11462,11464,11311,  .,.,.,., , Grundlæggende geoteknik ogkonstruktioner i jord. Traditionelt design af jordtrykspåvirkedekonstruktioner.Konstitutiv modellering. Kendskab tilelementmetoden.",Varvara Zania,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12422
334,12423,Constitutive models and plasticity in soil mechanics,Konstitutive modeller og plasticitet i jordmekanik,5,Kandidat,Campus Lyngby,"11411,11463,11464,11465, .,.,., , Vær opmærksom på, at avanceredemekanikskoncepter introduceres og udnyttes i dette kursus. Det vilsige, det er bedst egnet til studerende, som naturligt interesserersig for analytiske metoder. Kodningsevne er nødvendig for at udføreopgaverne.",Varvara Zania,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12423
335,12430,Mineral resources,Mineralske råstoffer,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Byggeteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,,Ida Lykke Fabricius,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12430
336,12431,Rock Physics and Rock Mechanics,Bjergartsfysik og bjergartsmekanik,5,"Kandidat_Generel retningskompetence, kandidatuddannelsen,Olie- og Gasteknik_Teknologisk specialisering, kandidatuddannelsen, Byggeteknologi_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur",Campus Lyngby,"11411,11441, ., , Geoteknik grundkursus. Geologi   eller lignende",Tobias Orlander,12Institut for Vand og Miljøteknologi,https://kurser.dtu.dk/course/12431
